,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,식별,,,기본 스탯 factor,,,대기상태,아이템,그룹 타겟선정 시스템,감지범위 시스템,스킬선정연산,,,,,,애니메이션,,,,,이펙트,,,,사운드,,,,1,
,번호,이름,ID,체력,이동속도,무게,행동타입,드랍아이템,몬스터그룹ID,감지범위 반지름,보유스킬ID1,스킬 우선순위,스킬 발동 조건,조건 값,스킬 쿨타임,공격대기시간,대기 애니메이션,이동 애니메이션,피격 애니메이션,스턴 애니메이션,사망 애니메이션,이동 이펙트,피격 이펙트,스턴 이펙트,사망 이펙트,대기 사운드,추격 사운드,공격 사운드,피격 사운드,,
,index,name,id,hp,moveSpeed,weight,behaviorType,dropId,monsterGroupId,detectingRangeRadius,HoldingSkillId1,skillPriority,skillCond,skillCondValue,skillCoolTime,attackDelay,animIdle,animMove,animHit,animStun,animDead,effectMove,effectHit,effectStun,effectDead,voiceIdle,voiceChase,voiceAttack,voiceHit,,
,int,string,int,int,float,float,enum|bT,int,int,float,int,short,enum|SC,float,float,float,int,int,int,int,int,int,int,int,int,int,int,int,int,,
,1,Medical,20101,15,2.5,10,stay,-1,-1,10,20201,1,0,-1,1,1,40616,40117,-1,-1,40218,-1,-1,-1,-1,-1,-1,-1,-1,,
,2,Cop,20102,10,2,10,stay,-1,-1,10,20202,1,0,-1,2,1,40613,40114,-1,-1,40215,-1,-1,-1,-1,-1,-1,-1,-1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
