,,,,,,,,,,,,,,,,,,,,,,,,
1,식별,,,스킬 선정 조건,기본 스킬 factor,,,,,,,스킬 오브젝트관련  factor,,,,스킬 효과,,,스킬 애니메이션,,,스킬 이펙트,,1
,번호,이름,스킬ID,스킬범위 반지름,생성스킬ob,스킬ob생성 지연시간,스킬오브젝트 생성위치,스킬 ob 개수,스킬 발동 횟수,스킬 발동 간격,스킬 쿨타임,돌진거리,돌진속도,범위표시시간,스턴지속시간,스킬대미지,넉백여부,넉백 거리,사용 애니메이션1,사용 애니메이션2,이벤트명,스킬 생성 이펙트,스킬 충돌 이펙트,
,index,name,id,skillRangeRadius,skillObName,skillObDelay,skillObCastingPos,skillObQuantity,skillCastNumber,skillCastInterval,skillCoolTinme,rushDistance,rushSpeed,decalTime,stunDuration,skillDamage,kbOnOff,kbDistance,skillAnimation1,skillAnimation2,eventName,fxSkillCasting,fxSkillCollsion,
,int,string,int,float,int,float,string,short,short,float,float,float,float,float,float,int,bool,float,int,int,string,int,int,
,1,RobotSkill04,20441,9,10521,1.5,RobotSkillPoint01,1,1,-1,15,12,6,1.5,3,30,TRUE,6,40410,-1,Hit,-1,-1,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
